Post ID,Platform,Duration (sec),Date,Post type,Views,Reach,Likes,Shares,Follows,Comments,Saves,Hashtag
27,Instagram,0,01-09-2026,image,600,155,70,1,1,55,0,#SpreadSmiles #PositiveVibes #CreativeEnergy #graphura
28,Instagram,0,01-08-2026,carousel,459,118,19,1,0,1,0,#SkincareBranding #ProductBranding #DesignAgency #VisualIdentity
29,Instagram,0,01-07-2026,image,209,79,19,0,0,0,0,#Graphura #BusinessIntelligence #DataDriven #TechSolutions
30,Instagram,0,01-06-2026,image,273,98,17,1,0,0,0,#ProfessionalWebDevelopment #WebSolutions #FrontendDevelopment #BackendDevelopment
31,Instagram,0,01-05-2026,image,298,97,14,1,0,0,0,#DataAnalytics #BusinessIntelligence #Graphura #DataDriven
32,Instagram,0,01-05-2026,carousel,459,118,23,0,0,0,0,#Graphura2026 #NewBeginnings #HackathonIndia #placementopportunities
33,Instagram,0,01-04-2026,image,290,94,18,1,0,0,0,#InclusiveDesign #AccessibilityMatters #DesignWithPurpose #Graphura
34,Instagram,0,01-02-2026,image,358,114,15,3,0,0,0,#SalesOptimization #DigitalGrowth #CRO #MarketingStrategy
35,Instagram,0,01-01-2026,image,355,111,19,1,0,0,0,#Graphura #NewBeginnings #CreativeAgency #DesignStudio
36,Instagram,0,31-12-2025,image,234,65,14,0,0,0,0,#NewYearsEve #Graphura #CreativeDesign #DesignStudio
37,Instagram,0,30-12-2025,carousel,414,105,19,0,0,0,0,#GraphicDesign #CreativeAgency #BrandDesign #VisualIdentity
38,Instagram,0,29-12-2025,image,325,106,17,0,0,0,0,#LogoDesign #BrandIdentity #CreativeDesign #BrandingDesign
39,Instagram,15,28-12-2025,reel,2252,1782,36,0,0,1,1,#CreativeAgency #BrandDesign #GraphicDesign #VisualIdentity
40,Instagram,0,27-12-2025,image,352,116,14,1,0,0,0,#GraphicDesign #CreativeDesign #BrandVisuals #MarketingGraphics
41,Instagram,7,26-12-2025,reel,752,372,18,0,1,0,0,#CreativeDesign #DigitalBranding #VisualStorytelling #ReelDesign
42,Instagram,0,24-12-2025,image,333,100,16,0,0,0,0,#Graphura #FestiveDesign #CreativeBranding #DesignWithPurpose
43,Instagram,0,22-12-2025,image,299,101,13,0,0,0,0,#FarmersOfIndia #RespectOurFarmers #FeedingTheNation #AgricultureIndia
44,Instagram,20,22-12-2025,reel,508,328,16,0,0,0,1,#CreativeDesign #VisualStorytelling #BrandIdentity #DigitalCreativity
45,Instagram,0,20-12-2025,image,319,107,13,1,0,0,0,#UIUXDesign #UserExperience #UXUI #DesignAgency
46,Instagram,0,20-12-2025,carousel,426,108,15,1,0,0,0,#CreativeAgency #DigitalDesign #BrandIdentity #VisualContent
47,Instagram,14,18-12-2025,reel,356,168,19,2,0,0,1,#CreativeAgency #DigitalMarketing #BrandingDesign #SocialMediaContent
48,Instagram,0,17-12-2025,image,308,93,12,0,0,0,0,#SocialMediaMarketing #DigitalMarketing #BrandGrowth #OnlinePresence
49,Instagram,0,16-12-2025,image,365,99,14,0,0,0,0,#Graphura #CreativeEditing #CinematicQuality #VisualStorytelling
50,Instagram,25,15-12-2025,reel,790,423,26,1,0,0,0,#InternshipCulture #FutureProfessionals #SkillDevelopment #BrandIdentity
51,Instagram,0,14-12-2025,image,379,121,12,0,0,0,0,#Graphura #DigitalMarketing #LeadGeneration #bulkemail
52,Instagram,0,13-12-2025,image,370,107,13,0,0,0,0,#SaveEnergy #SustainableFuture #GreenThinking #EcoAwareness
53,Instagram,0,12-12-2025,image,418,119,12,1,0,0,0,#WebDesignServices #WebsiteDevelopment #DigitalPresence #ResponsiveDesign
54,Instagram,7,12-10-2025,reel,761,389,20,0,0,0,0,#BrandGrowth #CreativeDesigns #DigitalBranding #ContentThatConnects
55,Instagram,0,12-10-2025,image,699,199,16,2,3,0,0,#BeyondProfit #EntrepreneurJourney #QalaExim
56,Instagram,0,12-10-2025,image,393,93,11,0,0,0,0,#ContentWriting #ContentCreator #SEOArticles #Copywriting
57,Instagram,0,12-08-2025,image,490,115,17,0,0,0,0,#StandForEquality #JusticeForAll #RightsMatter #VoiceForHumanity
58,Instagram,14,12-07-2025,reel,577,343,16,1,0,0,0,#BrandExcellence #LogoDesign #VisualImpact #CreativeSolutions
59,Instagram,0,12-06-2025,image,551,119,16,0,0,0,0,#IndianArmedForces #SaluteToHeroes #ProudIndian #NationFirst
60,Instagram,0,12-06-2025,image,542,112,13,0,0,0,0,#BrandGrowth #SocialMediaMarketing #FacebookMarketing #SEOServices
61,Instagram,7,12-05-2025,reel,628,385,17,0,0,0,0,#BrandPresence #MarketingAgency #CreativeSolutions #DigitalBranding
62,Instagram,0,12-01-2025,carousel,667,108,13,0,0,0,0,#SolarEnergyIndia #RenewableEnergyBrand #SolarBusinessGrowth #DigitalMarketingForSolar #Graphura #BrandWithGraphura #SolarLeadGeneration
63,Instagram,12,29-11-2025,reel,1333,934,29,1,1,0,1,#CreateWithGraphura #Graphura #GraphuraOnline #BrandDesign #CreativeAgency #SocialMediaDesign #BrandingStudio #DigitalCreators #ContentDesign #graphicdesignindia
64,Instagram,0,28-11-2025,carousel,772,119,13,0,0,0,0,#CarRentalDesign #BrandWithGraphura #CreativeDesigns #DigitalBranding #SmartBooking #RentACar #DesignThatSpeaks #MarketingContent #visualbranding
65,Instagram,15,25-11-2025,reel,752,445,25,2,0,0,0,#DesignLoud #CreateBold #EditSmart #WatchLovers #LuxuryWatch #TimepieceStyle
66,Instagram,0,24-11-2025,carousel,1066,177,17,1,0,0,1,#WatchPhotography #ModernDesign #brandvisuals
67,Instagram,0,23-11-2025,image,901,166,11,0,0,0,0,#GoogleSolutions #BusinessGrowth #DigitalMarketing #LeadGeneration #SmartAds #MarketingStrategy #BrandVisibility #GrowYourBusiness
68,Instagram,0,21-11-2025,carousel,936,138,14,0,0,0,0,#BrandIdentity #Graphura #CreativeAgency #FurnitureDesign #VisualBranding
69,Instagram,0,21-11-2025,carousel,911,146,15,0,0,0,0,#GraphuraDesigns #CreativeByGraphura #FreshlyBaked #BakedWithLove #DessertDesign #SweetCreatives #CarouselDesign #VisualDesign #DesignAgency #FoodPhotography #CreativeVisuals #DesignMagic #Foodstagram #i̇nstadesign
70,Instagram,0,19-11-2025,carousel,912,137,15,0,0,0,1,#PropertySales #MarketingStrategy #Graphura #BrandingSolutions #digitalmarketing
71,Instagram,0,19-11-2025,image,794,112,17,0,0,0,0,#ScriptWriting #Graphura #DigitalCreatives #Storytelling #BrandGrowth
72,Instagram,0,18-11-2025,carousel,846,138,17,0,0,0,1,#EthnicFashion #BrandIdentity #FashionMarketing #CreativeAgency #DigitalBranding #ContentStrategy #FashionBusiness #EthnicWear #BrandGrowth #DesignAgency #SocialMediaBranding
73,Instagram,0,16-11-2025,carousel,815,136,17,0,0,0,0,#Jewellery #CreativeDesign #BrandingAgency #VisualExcellence #LuxuryVisuals #DesignStudio #DigitalCreatives
74,Instagram,0,15-11-2025,image,718,132,16,0,0,0,0,#DigitalMarketing #BrandGrowth #SocialMediaTips #MarketingEssentials #Graphura #contentmarketingagency
75,Instagram,0,14-11-2025,image,928,174,22,1,0,0,0,#CareerGrowth #ProfessionalDevelopment #MotilalOswal #GraphuraIndia #CareerTips #SkillBuilding #ProfessionalCV #StudentCommunity #LearningSession
76,Instagram,0,13-11-2025,image,673,101,19,0,0,0,0,#graphuraindiaprivatelimited #creative #creativity #thinking #children #childrensday #happy
77,Instagram,0,13-11-2025,image,862,161,18,0,0,0,0,#JBKnowledgePark #CareerOpportunities #InternshipLife #SkillDevelopment #WorkTogether #FutureGoals
78,Instagram,0,11-12-2025,image,1651,243,19,1,0,0,0,#VideoEditing #CreativeExperts #DigitalStorytelling #ContentCreation #VideoVisionaries
79,Instagram,0,11-11-2025,carousel,1622,200,22,0,0,0,0,#SkinCareEssentials #GlowWithGraphura #BoldSkinCare #RadiantSkin #DesignLeadBeauty
80,Instagram,0,11-10-2025,image,1445,196,21,0,0,0,0,#DesignYourBrand #CreativeDesigns #LogoDesign #PosterDesign #FlyerDesign #businessbranding
81,Instagram,0,11-07-2025,image,1935,333,33,1,1,1,0,#AIinEducation #ProfessionalNetworking #LinkedInGrowth #CareerDevelopment #ResearchAndInnovation #DigitalLearning #Networking #skillbuilding
82,Instagram,0,11-07-2025,carousel,1696,218,29,0,0,0,1,#graphura #design #designer #stationary #student #shop
83,Instagram,0,11-06-2025,image,1765,227,25,2,0,1,0,#WebsiteDesign #WebDevelopment #DigitalSolutions #BusinessGrowth #BrandIdentity #CreativeDesign #professionalwebsite
84,Instagram,0,11-04-2025,image,1450,212,28,1,0,0,0,#Graphura #DesignThatSpeaks #FestivalOfLights #CreateBold #EditSmart #DesignLoud #DigitalCreatives #FestivalDesign #indianfestival
85,Instagram,0,11-04-2025,image,1723,271,26,0,0,1,0,#Graphura #lpu #lpuuniversity #collobration #internship #achivement
